entry_time,exit_time,type,entry_price,entry_price_effective,exit_price,exit_price_effective,qty,sl,tp,gross_pnl,entry_commission,exit_commission,net_pnl,exit_reason,atr,duration_candles
2026-01-06 10:01:00+05:30,2026-01-06 10:10:00+05:30,SELL,1531.5,1531.04055,1525.857142857143,1526.3149,57,1536.0142857142857,1525.857142857143,269.362049999992,110.86931135,23.6,134.892738649992,TP Hit,2.257142857142867,0
2026-01-07 09:16:00+05:30,2026-01-07 09:19:00+05:30,BUY,1511.6,1512.0534799999998,1516.6892857142857,1516.2342789285715,58,1507.5285714285712,1516.6892857142857,242.4863378571572,23.6,111.54158817785716,107.34474967930004,TP Hit,2.0357142857142856,0
2026-01-08 09:16:00+05:30,2026-01-08 09:52:00+05:30,SELL,1495.6,1495.15132,1490.242857142857,1490.6899299999998,58,1499.8857142857141,1490.242857142857,258.76062000000957,110.31877656,23.6,124.84184344000957,TP Hit,2.142857142857127,0
2026-01-09 09:15:00+05:30,2026-01-09 09:16:00+05:30,SELL,1467.8,1467.3596599999998,1470.8714285714286,1471.31269,59,1470.8714285714286,1463.9607142857142,-233.22877000000744,110.17421994,23.6,-367.00298994000747,SL Hit,1.5357142857142858,0
2026-01-12 09:18:00+05:30,2026-01-12 09:20:00+05:30,SELL,1466.7,1466.25999,1461.6642857142856,1462.1027849999998,59,1470.7285714285715,1461.6642857142856,245.27509500001202,110.10933940999999,23.6,111.56575559001203,TP Hit,2.0142857142857338,0
2026-01-13 09:18:00+05:30,2026-01-13 09:26:00+05:30,SELL,1476.6,1476.1570199999999,1471.6535714285715,1472.0950675000001,59,1480.5571428571427,1471.6535714285715,239.6551974999843,110.69326418,23.6,105.3619333199843,TP Hit,1.9785714285714155,0
2026-01-14 09:48:00+05:30,2026-01-14 09:50:00+05:30,SELL,1450.5,1450.06485,1453.3857142857144,1453.8217300000001,60,1453.3857142857144,1446.892857142857,-225.41280000000825,110.603891,23.6,-359.61669100000825,SL Hit,1.4428571428571624,0
2026-01-16 09:17:00+05:30,2026-01-16 09:20:00+05:30,BUY,1460.7,1461.13821,1466.3607142857145,1465.9208060714288,59,1456.1714285714286,1466.3607142857145,282.17316821429745,23.6,110.08932755821431,148.48384065608312,TP Hit,2.264285714285766,0
2026-01-19 09:16:00+05:30,2026-01-19 09:29:00+05:30,SELL,1436.5,1436.06905,1423.982142857143,1424.4093375,60,1446.5142857142857,1423.982142857143,699.5827500000041,109.76414300000002,23.6,566.2186070000041,TP Hit,5.007142857142834,0
2026-01-20 09:15:00+05:30,2026-01-20 09:17:00+05:30,SELL,1409.7,1409.27709,1412.7714285714287,1413.1952600000002,62,1412.7714285714287,1405.8607142857143,-242.92654000000903,110.97517958,23.6,-377.5017195800091,SL Hit,1.5357142857142858,0
2026-01-21 09:15:00+05:30,2026-01-21 09:16:00+05:30,SELL,1389.4,1388.9831800000002,1394.2142857142858,1394.63255,63,1394.2142857142858,1383.382142857143,-355.91030999999134,111.10594034000002,23.6,-490.6162503399914,SL Hit,2.4071428571428606,0
2026-01-22 09:15:00+05:30,2026-01-22 09:17:00+05:30,BUY,1411.6,1412.0234799999998,1408.3285714285712,1407.9060728571426,61,1408.3285714285712,1415.6892857142857,-251.161835714292,23.6,109.48227044428569,-384.2441061585777,SL Hit,1.6357142857143085,0
2026-01-23 09:23:00+05:30,2026-01-23 09:38:00+05:30,BUY,1404.9,1405.32147,1400.6857142857143,1400.2655085714287,61,1400.6857142857143,1410.1678571428572,-308.4136471428576,23.6,109.01619602285714,-441.02984316571474,SL Hit,2.1071428571428408,0
2026-01-27 09:15:00+05:30,2026-01-27 09:16:00+05:30,SELL,1385.7,1385.28429,1382.45,1382.864735,62,1388.3,1382.45,150.01240999999663,109.48762597999999,23.6,16.924784019996643,TP Hit,1.2999999999999707,0
2026-01-28 09:17:00+05:30,2026-01-28 09:20:00+05:30,BUY,1393.8,1394.21814,1400.8357142857142,1400.4154635714285,62,1388.1714285714286,1400.8357142857142,384.2340614285713,23.6,110.42575874142858,250.2083026871427,TP Hit,2.8142857142857047,0
2026-01-29 09:49:00+05:30,2026-01-29 10:59:00+05:30,SELL,1390.8,1390.38276,1394.2714285714285,1394.6897099999999,62,1394.2714285714285,1386.4607142857142,-267.03089999999474,109.80373112000001,23.6,-400.4346311199948,SL Hit,1.7357142857143149,0
2026-01-30 10:05:00+05:30,2026-01-30 10:16:00+05:30,SELL,1387.5,1387.08375,1389.4714285714285,1389.88827,62,1389.4714285714285,1385.0357142857142,-173.8802399999945,109.59919250000002,23.6,-307.07943249999454,SL Hit,0.9857142857142824,0
2026-02-01 09:47:00+05:30,2026-02-01 09:50:00+05:30,BUY,1401.2,1401.6203600000001,1398.5,1398.08045,61,1398.5,1404.575,-215.93451000001164,23.6,108.88290745,-348.4174174500116,SL Hit,1.3500000000000065,0
2026-02-02 09:15:00+05:30,2026-02-02 09:20:00+05:30,SELL,1342.4,1341.99728,1350.314285714286,1350.7193800000002,63,1350.314285714286,1332.507142857143,-549.4923000000115,108.14582864000002,23.6,-681.2381286400115,SL Hit,3.95714285714288,0
2026-02-03 09:48:00+05:30,2026-02-03 10:24:00+05:30,BUY,1445.0,1445.4335,1451.482142857143,1451.0466982142857,58,1439.8142857142857,1451.482142857143,325.565496428565,23.6,107.76070849642858,194.20478793213638,TP Hit,2.5928571428571723,0
2026-02-04 09:20:00+05:30,2026-02-04 10:05:00+05:30,BUY,1454.5,1454.93635,1462.267857142857,1461.8291767857143,58,1448.2857142857142,1462.267857142857,399.7839535714297,23.6,108.38609225357143,267.7978613178583,TP Hit,3.107142857142857,0
2026-02-05 09:15:00+05:30,2026-02-05 09:16:00+05:30,BUY,1460.5,1460.93815,1457.0857142857142,1456.6485885714285,58,1457.0857142857142,1464.767857142857,-248.79456285714468,23.6,108.08561813714286,-380.4801809942876,SL Hit,1.7071428571428637,0
2026-02-06 09:15:00+05:30,2026-02-06 10:36:00+05:30,SELL,1440.6,1440.16782,1445.6142857142856,1446.0479699999999,59,1445.6142857142856,1434.3321428571428,-346.9288499999975,108.56990138,23.6,-479.09875137999757,SL Hit,2.5071428571428345,0
2026-02-09 09:18:00+05:30,2026-02-10 09:15:00+05:30,BUY,1461.3,1461.73839,1467.192857142857,1466.7526992857142,58,1456.5857142857142,1467.192857142857,290.8299385714272,23.6,108.67165655857144,158.55828201285573,TP Hit,2.357142857142857,0
2026-02-10 09:16:00+05:30,2026-02-10 09:19:00+05:30,BUY,1469.5,1469.94085,1466.8428571428572,1466.4028042857144,57,1466.8428571428572,1472.8214285714284,-201.66860571427605,23.6,107.18495984428571,-332.45356555856176,SL Hit,1.3285714285713897,0
2026-02-11 09:54:00+05:30,2026-02-11 10:08:00+05:30,SELL,1457.5,1457.06275,1459.3142857142857,1459.75208,58,1459.3142857142857,1455.232142857143,-155.98113999999578,108.10963950000001,23.6,-287.6907794999958,SL Hit,0.9071428571428442,0
2026-02-12 09:15:00+05:30,2026-02-12 09:16:00+05:30,BUY,1470.1,1470.5410299999999,1467.6,1467.1597199999999,57,1467.6,1473.225,-192.73466999999914,23.6,107.22810404,-323.5627740399991,SL Hit,1.2499999999999838,0
2026-02-13 09:15:00+05:30,2026-02-13 09:16:00+05:30,SELL,1445.3,1444.8664099999999,1440.5321428571428,1440.9643025,58,1449.1142857142856,1440.5321428571428,226.3222349999901,107.40225178,23.6,95.31998321999009,TP Hit,1.9071428571428442,0
2026-02-16 09:37:00+05:30,2026-02-16 09:45:00+05:30,SELL,1413.8,1413.3758599999999,1409.8714285714286,1410.29439,59,1416.942857142857,1409.8714285714286,181.80672999999138,106.98917574000001,23.6,51.21755425999137,TP Hit,1.5714285714285714,0
2026-02-17 09:30:00+05:30,2026-02-17 09:45:00+05:30,SELL,1423.2,1422.77304,1426.7,1427.1280100000001,59,1426.7,1418.825,-256.94323000000554,107.54360936,23.6,-388.08683936000557,SL Hit,1.75,0
2026-02-18 09:15:00+05:30,2026-02-18 09:29:00+05:30,BUY,1425.4,1425.82762,1428.7214285714288,1428.2928121428574,58,1422.7428571428572,1428.7214285714288,142.98114428572944,23.6,106.44098310428572,12.940161181443727,TP Hit,1.3285714285714545,0
2026-02-19 09:21:00+05:30,2026-02-19 09:29:00+05:30,BUY,1440.6,1441.03218,1436.3285714285714,1435.8976728571429,58,1436.3285714285714,1445.9392857142857,-297.8014142857087,23.6,106.8820650257143,-428.283479311423,SL Hit,2.1357142857142923,0
2026-02-20 09:36:00+05:30,2026-02-20 10:09:00+05:30,BUY,1416.1,1416.5248299999998,1412.357142857143,1411.9334357142857,59,1412.357142857143,1420.7785714285712,-270.8922628571354,23.6,106.90407270714286,-401.3963355642783,SL Hit,1.8714285714285583,0
2026-02-23 09:33:00+05:30,2026-02-23 09:53:00+05:30,BUY,1432.8,1433.22984,1429.357142857143,1428.9283357142858,58,1429.357142857143,1437.1035714285715,-249.48724857142042,23.6,106.4778434714286,-379.5650920428491,SL Hit,1.721428571428581,0
2026-02-24 09:37:00+05:30,2026-02-24 09:49:00+05:30,SELL,1420.8,1420.37376,1423.7142857142858,1424.1414,58,1423.7142857142858,1417.1571428571428,-218.52312000000165,105.98167808,23.6,-348.1047980800017,SL Hit,1.45714285714288,0
2026-02-25 09:15:00+05:30,2026-02-25 09:17:00+05:30,BUY,1438.9,1439.33167,1434.7428571428572,1434.3124342857143,57,1434.7428571428572,1444.0964285714288,-286.0964357142873,23.6,105.3558087542857,-415.052244468573,SL Hit,2.0785714285714385,0
2026-02-26 09:54:00+05:30,2026-02-26 10:05:00+05:30,SELL,1397.8,1397.38066,1400.1571428571428,1400.57719,58,1400.1571428571428,1394.8535714285713,-185.39873999999645,104.64807828,23.6,-313.64681827999647,SL Hit,1.1785714285714448,0
2026-02-27 09:15:00+05:30,2026-02-27 09:18:00+05:30,SELL,1394.4,1393.98168,1388.632142857143,1389.0487325000001,58,1399.014285714286,1388.632142857143,286.1109549999974,104.45093744000002,23.6,158.06001755999736,TP Hit,2.3071428571428862,0
2026-03-02 10:02:00+05:30,2026-03-02 10:05:00+05:30,SELL,1373.6,1373.1879199999998,1369.3857142857144,1369.79653,59,1376.9714285714285,1369.3857142857144,200.09200999998666,104.61808728,23.6,71.87392271998667,TP Hit,1.685714285714263,0
2026-03-04 09:29:00+05:30,2026-03-04 10:02:00+05:30,SELL,1311.3,1310.90661,1321.7,1322.09651,62,1321.7,1298.3,-693.7738000000049,104.87620982000001,23.6,-822.250009820005,SL Hit,5.200000000000013,0
2026-03-05 09:15:00+05:30,2026-03-05 09:17:00+05:30,BUY,1361.2,1361.60836,1369.0035714285714,1368.5928703571428,59,1354.9571428571428,1369.0035714285714,412.08611107142997,23.6,104.34697935107144,284.1391317203585,TP Hit,3.1214285714285745,0
2026-03-06 09:16:00+05:30,2026-03-06 09:27:00+05:30,BUY,1401.0,1401.4203,1411.0357142857142,1410.6124035714286,58,1392.9714285714285,1411.0357142857142,533.1420071428565,23.6,105.41551940714285,404.1264877357137,TP Hit,4.014285714285718,0
2026-03-09 09:15:00+05:30,2026-03-09 09:18:00+05:30,SELL,1401.3,1400.87961,1390.9071428571428,1391.324415,58,1409.6142857142856,1390.9071428571428,554.2013099999949,104.85101738,23.6,425.75029261999487,TP Hit,4.157142857142844,0
2026-03-10 09:16:00+05:30,2026-03-10 09:19:00+05:30,SELL,1410.0,1409.577,1401.0357142857142,1401.456025,58,1417.1714285714286,1401.0357142857142,471.01655000000255,105.355466,23.6,342.06108400000255,TP Hit,3.5857142857143054,0
2026-03-11 09:16:00+05:30,2026-03-11 09:20:00+05:30,BUY,1425.6,1426.02768,1432.8142857142857,1432.3844414285713,57,1419.8285714285714,1432.8142857142857,362.3354014285708,23.6,105.24591316142858,233.48948826714218,TP Hit,2.885714285714276,0
2026-03-12 09:15:00+05:30,2026-03-12 09:18:00+05:30,SELL,1383.0,1382.5851,1387.1857142857143,1387.60187,59,1387.1857142857143,1377.767857142857,-295.9894299999971,105.1725209,23.6,-424.76195089999715,SL Hit,2.0928571428571723,0
2026-03-13 09:45:00+05:30,2026-03-13 09:48:00+05:30,SELL,1392.0,1391.5824,1396.1857142857143,1396.60457,59,1396.1857142857143,1386.767857142857,-296.30802999999764,105.7033616,23.6,-425.61139159999766,SL Hit,2.0928571428571723,0
2026-03-16 09:15:00+05:30,2026-03-16 09:17:00+05:30,SELL,1377.5,1377.08675,1374.125,1374.5372375,59,1380.2,1374.125,150.4212374999995,104.84811825,23.6,21.973119249999506,TP Hit,1.350000000000039,0
2026-03-17 09:15:00+05:30,2026-03-17 09:22:00+05:30,BUY,1395.9,1396.31877,1401.3642857142859,1400.9438764285717,58,1391.5285714285715,1401.3642857142859,268.2561728571527,23.6,104.85474483285716,139.80142802429555,TP Hit,2.1857142857142793,0
2026-03-18 09:24:00+05:30,2026-03-18 09:51:00+05:30,BUY,1403.8,1404.2211399999999,1410.925,1410.5017225,58,1398.1,1410.925,364.27378500000214,23.6,105.409099905,235.2646850950021,TP Hit,2.8500000000000227,0
2026-03-19 09:15:00+05:30,2026-03-19 09:16:00+05:30,SELL,1404.6,1404.17862,1398.3142857142857,1398.73378,58,1409.6285714285714,1398.3142857142857,315.80071999999336,105.04235996,23.6,187.15836003999337,TP Hit,2.5142857142857338,0
2026-03-20 09:29:00+05:30,2026-03-20 10:12:00+05:30,BUY,1413.4,1413.82402,1420.2928571428572,1419.8667692857143,58,1407.8857142857144,1420.2928571428572,350.47945857142986,23.6,105.95227261857144,220.9271859528584,TP Hit,2.7571428571428833,0
2026-03-23 09:15:00+05:30,2026-03-23 09:21:00+05:30,SELL,1398.9,1398.48033,1405.642857142857,1406.06455,59,1405.642857142857,1390.4714285714288,-447.4689799999976,106.11033947000001,23.6,-577.1793194699976,SL Hit,3.371428571428526,0
2026-03-24 09:17:00+05:30,2026-03-24 09:39:00+05:30,BUY,1416.2,1416.6248600000001,1409.7,1409.27709,58,1409.7,1424.325,-426.1706600000048,23.6,105.33807121999999,-555.1087312200048,SL Hit,3.2500000000000164,0
2026-03-25 09:15:00+05:30,2026-03-25 10:39:00+05:30,BUY,1417.8,1418.22534,1424.2821428571428,1423.8548582142857,57,1412.6142857142856,1424.2821428571428,320.8825382142895,23.6,104.75972691821428,192.52281129607522,TP Hit,2.5928571428571883,0
2026-03-27 09:29:00+05:30,2026-03-27 09:34:00+05:30,SELL,1386.5,1386.08405,1379.607142857143,1380.021025,59,1392.0142857142857,1379.607142857143,357.7184749999956,105.37895895,23.6,228.7395160499956,TP Hit,2.7571428571428345,0
2026-03-30 09:15:00+05:30,2026-03-30 09:16:00+05:30,SELL,1341.2,1340.79764,1346.0142857142857,1346.4180900000001,61,1346.0142857142857,1335.1821428571427,-342.84745000000726,105.38865604,23.6,-471.8361060400073,SL Hit,2.407142857142893,0
2026-04-01 09:54:00+05:30,2026-04-01 09:56:00+05:30,BUY,1372.5,1372.91175,1370.1857142857143,1369.7746585714285,59,1370.1857142857143,1375.392857142857,-185.0883942857165,23.6,104.4167048557143,-313.1050991414308,SL Hit,1.1571428571428604,0
2026-04-02 09:23:00+05:30,2026-04-02 09:48:00+05:30,SELL,1351.9,1351.4944300000002,1342.3464285714285,1342.7491324999999,60,1359.5428571428572,1342.3464285714285,524.71785000002,104.68966580000003,23.6,396.4281842000199,TP Hit,3.821428571428604,0
2026-04-06 09:40:00+05:30,2026-04-06 10:27:00+05:30,SELL,1321.7,1321.30349,1314.3785714285714,1314.7728849999999,61,1327.557142857143,1314.3785714285714,398.3669050000092,104.19951289,23.6,270.56739211000917,TP Hit,2.9285714285714772,0
2026-04-07 09:49:00+05:30,2026-04-07 09:58:00+05:30,SELL,1292.7,1292.31219,1295.1714285714286,1295.55998,63,1295.1714285714286,1289.6107142857145,-204.6107699999934,105.01566797000001,23.6,-333.2264379699934,SL Hit,1.2357142857142662,0
2026-04-08 09:50:00+05:30,2026-04-08 10:04:00+05:30,BUY,1339.3,1339.7017899999998,1343.5142857142857,1343.1112314285715,61,1335.9285714285713,1343.5142857142857,207.9759271428709,23.6,105.52978511714286,78.84614202572803,TP Hit,1.6857142857143117,0
2026-04-09 09:15:00+05:30,2026-04-09 09:19:00+05:30,SELL,1340.6,1340.1978199999999,1344.1,1344.5032299999998,61,1344.1,1336.225,-262.6300099999962,105.35206701999999,23.6,-391.58207701999623,SL Hit,1.75,0
2026-04-10 09:15:00+05:30,2026-04-10 09:21:00+05:30,BUY,1339.0,1339.4017,1344.1785714285716,1343.775317857143,60,1334.857142857143,1344.1785714285716,262.41707142858104,23.6,104.22651907142858,134.59055235715246,TP Hit,2.071428571428604,0
2026-04-13 09:54:00+05:30,2026-04-13 09:58:00+05:30,SELL,1314.1,1313.7057699999998,1316.1857142857143,1316.58057,62,1316.1857142857143,1311.492857142857,-178.2376000000172,105.04975773999999,23.6,-306.88735774001725,SL Hit,1.042857142857169,0
