window,start_candle,end_candle,net_profit,win_rate,sharpe,max_dd,trades
194,19400,19900,-79.30384815747675,50.0,-2.1567267267660517,0.33067447877074696,2
195,19500,20000,-1099.2466942699975,0.0,-50.34134461589361,1.0992466942699974,2
196,19600,20100,-1054.1439310099813,0.0,-42.71754865747346,1.0541439310099814,2
197,19700,20200,-608.3958598399913,50.0,-11.53213689093044,0.7221129959426583,2
198,19800,20300,-1388.1319293200213,0.0,-1489.1034981270004,1.3881319293200214,2
199,19900,20400,-1074.7040393999923,0.0,-57.128922295331975,1.0747040393999925,2
200,20000,20500,-430.93885151998256,50.0,-7.106028984089954,0.6949694071157977,2
201,20100,20600,-696.8171801599965,0.0,0.0,0.6968171801599965,1
202,20200,20700,99.668480990018,100.0,0.0,0.0,1
203,20300,20800,-234.23799391000648,50.0,-7.659224571842069,0.3594083197634271,2
204,20400,20900,-686.1461790400062,0.0,-324.4299462596317,0.6861461790400062,2
205,20500,21000,-787.7642397200252,0.0,-160.70594154255048,0.7877642397200253,2
206,20600,21100,-292.64654800000426,50.0,-10.877810199769895,0.3598598150400067,2
207,20700,21200,-251.20468175999122,50.0,-10.340839986166475,0.31841794879999363,2
208,20800,21300,282.30801456001063,100.0,30.304679012753773,0.0,2
209,20900,21400,-148.5180097600096,50.0,-8.332552669997328,0.21558637415464957,2
210,21000,21500,-805.2241609128687,0.0,-276.3002994417809,0.8052241609128686,2
211,21100,21600,-797.892062902858,0.0,-236.3293650501827,0.797892062902858,2
212,21200,21700,-354.3202248228772,50.0,-11.313417030481489,0.4254398189128249,2
213,21300,21800,-817.4278316300042,0.0,-151.84686803234456,0.8174278316300042,2
214,21400,21900,-163.25464379000186,50.0,-4.556901638504937,0.36524532272533716,2
215,21500,22000,-760.4297663500183,0.0,-424.18188913523386,0.7604297663500184,2
216,21600,22100,351.60470200004056,100.0,162.2280602334342,0.0,2
217,21700,22200,296.9091540000227,100.0,52.898166912848396,0.0,2
218,21800,22300,-802.5708870657254,0.0,-93.35592089968323,0.8025708870657254,2
219,21900,22400,-201.40599339427717,50.0,-4.07921897603742,0.49116410518673614,2
220,22000,22500,-469.5211683657253,0.0,0.0,0.4695211683657253,1
221,22100,22600,-714.8211968414253,0.0,-528.3863306500585,0.7148211968414252,2
222,22200,22700,-317.83144442999037,50.0,-12.056953464088258,0.36796327052654326,2
223,22300,22800,-271.0353759499849,50.0,-9.247602837536286,0.36779124524147466,2
224,22400,22900,-2.3392315699893516,50.0,-0.050594407202022997,0.368148418509998,2
225,22500,23000,51.600662740005646,50.0,1.2045791060410265,0.314208524200003,2
226,22600,23100,345.259099467512,50.0,13.720201766078558,0.027105788852495608,2
227,22700,23200,57.76145920000272,50.0,1.3607261697090411,0.30804772774000594,2
228,22800,23300,-395.59701223998854,50.0,-11.792370265178793,0.4640684646399895,2
229,22900,23400,260.63348907246836,100.0,231.4621514125384,0.0,2
230,23000,23500,176.06104272251832,100.0,27.28108418425707,0.0,2
231,23100,23600,273.0522222425061,100.0,794.3937146657092,0.0,2
232,23200,23700,101.3726621800015,50.0,1.797982798171926,0.3968266053099942,2
233,23300,23800,-190.5034224499832,50.0,-6.2860303359514305,0.3357968499399867,2
234,23400,23900,-587.4317894600099,0.0,-277.821652226764,0.58743178946001,2
235,23500,24000,-493.0380881499732,50.0,-6.921170050641527,0.8093580700329401,2
236,23600,24100,-820.6253305900027,0.0,-254.41085557974898,0.8206253305900028,2
237,23700,24200,-769.6717729214288,0.0,-48656.64172000413,0.7696717729214287,2
238,23800,24300,-834.6019140800054,0.0,-203.26235614024793,0.8346019140800054,2
